등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
B,프란시스코 데오레야나,전투,일반의,22,28,71,32,27,31,35,22,14,12,7,20,의술 극대화 회복량 증가,백병 방어력 증폭,피격 시 백병 회피 증가,포격 피해 반사,의술 극대화 발생 증가,의술 회복량 증폭,이동 방해 백병,시작 시 기동력 회복량 증가,이동 전 기동력 절약,섬유 구매 달인,,,의술: 대규모,포격: 구속 유발,
B,프란시스코 알보,모험,갑판장,15,11,19,7,29,31,76,23,36,26,32,21,포격 방어력 증가,중재자,후려치기의 달인,소방 훈련,싸움 해소,관찰 공부,행동 전 명중 증폭,영양사,해적 척결,행동 전 치명타 발생 증폭 심화,,,백병: 침수 유발,포격: 혼란 유발,
B,프란시스쿠 드알메이다,교역,방적상,14,19,11,6,28,35,33,22,25,70,29,27,충파 공격력 증가,직물 거래 전문,섬유 거래 우대,돌풍 해소,섬유 거래 전문,직물 구매 할인,중독 충파,직물 판매 할증,직물 거래 달인,섬유 판매 달인,,,돌격,백병: 식량 약탈,
B,프란시스쿠 세항,모험,조범수,17,7,15,11,34,70,25,24,24,34,28,30,방어력 증가,장애물 탐지,향료 거래 우대,수영 금지령,암초 해소,능숙한 노 젓기,이동 방해 포격,귀마개 착용,긴축 배식,포격 피해 무효,,,포격: 침수 유발,충파: 혼란 유발,
B,프랑수아 르클레르,전투,조타수,32,75,21,28,26,21,34,32,13,12,6,20,충파 공격력 증가,충파 공격력 증폭,피격 시 충파 방어력 증가,충파 치명타 추가 피해,충파 방어력 증가,충파 방어력 증폭,세이렌 해소,기술 봉쇄 충파,충파 치명타 피해 증폭,이동 억제 충파,이동 정지 충파,,충파: 화재 유발,충파: 키 손상 유발,충파: 돛 파괴 유발
B,프랑코 사누드,전투,유탄수,74,27,19,32,35,19,27,33,7,19,14,12,포격 치명타 발생 증가,포격 치명타 발생 증폭,공격 시 포격 회피 하강,포격 반격 강화,포격 공격력 증가,포격 치명타 추가 피해,탐험 물자 절약,행동 전 공방 위력 증폭,포격 치명타 추가 저항,총포류 거래 달인,,,포격: 화재 유발,정밀 포격: 혼란 유발,
B,피라리,전투,백병대,28,32,21,75,23,24,30,36,17,16,10,8,백병 치명타 발생 증가,백병 치명타 발생 증폭,매력적인 제안,백병 피해 반사,백병 공격력 증가,백병 치명타 추가 피해,탐험 물자 절약,백병 반격 강화,백병 시 추가 고정 피해 심화,무기류 구매 달인,,,백병: 침수 유발,방어력 감소,
B,피터르 제라뒤스,교역,미술상,7,19,11,14,36,31,24,25,29,23,75,29,충파 방어력 증가,미술품 거래 전문,미술품 거래 우대,고향의 노래,정서불안 해소,미술품 구매 할인,공격 시 충파 방어력 하강,미술품 판매 할증,미술품 거래 달인,총포류 판매 달인,,,돌격,추가 기동력 감소,
B,필리베르 코메르송,모험,생물학자,7,11,19,15,75,23,29,29,24,29,28,35,의술 회복량 증가,채집의 달인,공예품 거래 우대,심해 인양 전문가,해양 생태 연구,맹수 사냥,공격 시 백병 명중 하강,주의깊은 탐험가,조미료 판매 달인,맹수 척결,,,포격: 침수 유발,충파: 중독 유발,
B,하산 아그하,전투,수리공,32,27,74,22,23,28,30,36,17,15,10,7,수리 극대화 발생 증가,포격 공격력 증폭,조미료 거래 우대,피격 전 회피 증폭,수리 회복량 증가,기술 봉쇄 포격,심해 튼튼한 로프,피격 전 방어력 증폭,시작 시 최상급 수리,공업품 거래 달인,,,수리: 대규모,방어력 감소,
B,하산 파샤,전투,함포수,74,27,21,32,14,7,17,12,26,31,33,24,포격 공격력 증가,포격 공격력 증폭,고립 시 포격 공격력 증폭,포격 피해 반사,포격 방어력 증가,포격 방어력 증폭,식인상어 해소,포격 반격 강화,공격 시 포격 방어력 하락,총포류 구매 달인,,,포격: 구속 유발,포격: 방어 무시,
B,하세쿠라 쓰네나가,교역,협상가,20,7,14,11,24,25,36,32,30,27,67,23,포격 회피 증가,기호품 거래 전문,후려치기의 달인,미술품 거래 우대,향수병 해소,기호품 구매 할인,이동 봉쇄 포격,기호품 판매 할증,다정한 협상,미술품 판매 달인,,,백병: 돛 손상 유발,백병: 물 약탈,
B,하얌 우룩,모험,예술학자,11,7,16,19,76,24,33,26,32,25,24,35,백병 방어력 증가,재력 추구,미술품 거래 우대,주의깊은 탐험가,낚시꾼,명성 추구,중독 시 보호 발동,숙련된 탐험가,노련한 돛 조종,행동 전 치명타 발생 증폭 심화,환호받는 정치인,배식 관리,충파: 구속 유발,충파: 싸움 유발,정화: 재편성
B,하파엘 세하누,전투,수련의,27,32,71,22,18,15,11,7,23,28,31,33,의술 극대화 발생 증가,충파 방어력 증폭,피격 시 회피 증폭,의술 극대화 회복량 증가,의술 회복량 증가,충파 피해 반사,세이렌 해소,혼란 시 보호 발동,이동 전 기동력 절약,섬유 구매 달인,,,의술: 전 범위,추가 기동력 감소,
B,하프메트 그라니에,모험,보급장,19,7,16,11,29,32,25,69,28,22,36,29,포격 방어력 증가,결벽증,뛰어난 협상,수영 금지령,부패 해소,긴축 배급,이동 방해 포격,식자재 관리,긴축 배식,행동 전 공격력 증폭 심화,,,충파: 화재 유발,포격: 중독 유발,
B,허초희,교역,미술상,7,19,12,14,37,32,25,24,28,23,73,28,충파 방어력 증가,미술품 거래 전문,공격 시 백병 치명률 하강,고향의 노래,정서불안 해소,미술품 구매 할인,이동 방해 충파,미술품 판매 할증,미술품 거래 달인,광석 판매 달인,,,의술 봉쇄,백병: 침수 유발,
B,헨리 만스펠,전투,특공대,28,32,21,75,30,31,23,28,10,8,17,16,백병 회피 증가,백병 회피 증폭,바가지의 달인,중독 백병,백병 명중 증가,백병 명중 증폭,보물 사냥꾼,백병 봉쇄 백병,공격 시 백병 방어력 하락,무기류 구매 달인,,,백병: 연막 유발,회피 감소,
B,혜희,모험,조범수,17,7,16,11,33,73,25,24,24,34,28,30,방어력 증가,장애물 탐지,식료품 거래 우대,결벽증,암초 해소,능숙한 노 젓기,탐사의 기본,불면증 해소,노련한 노 젓기,기회 창출,,,회피 감소,치명타 발생 감소,
B,호세,전투,백병대,27,32,21,73,23,24,31,35,17,16,10,8,백병 치명타 발생 증가,백병 치명타 발생 증폭,거래의 승부사,공격 시 백병 방어력 하강,백병 공격력 증가,백병 치명타 추가 피해,저체온증 해소,백병 반격 강화,백병 치명타 추가 저항,무기류 거래 달인,,,백병 봉쇄,백병: 화재 유발,
B,호수인,전투,조타수,32,74,20,27,26,20,34,32,13,12,6,19,충파 공격력 증가,충파 공격력 증폭,낚시꾼,충파 치명타 추가 피해,충파 방어력 증가,충파 방어력 증폭,저체온증 해소,기술 봉쇄 충파,공격 시 충파 방어력 하락,공업품 구매 달인,,,충파: 싸움 유발,충파: 혼란 유발,
B,호종헌,전투,조타수,30,69,23,25,27,23,34,30,15,11,7,18,충파 공격력 증가,충파 공격력 증폭,바가지의 달인,기술 봉쇄 충파,충파 방어력 증가,충파 방어력 증폭,육분의 활용,충파 반격 강화,극독 충파,광석 구매 달인,,,충파: 침수 유발,충파: 싸움 유발,
B,홍보,모험,생물학자,7,11,20,16,76,24,29,29,24,30,28,36,의술 회복량 증가,채집의 달인,섬유 거래 우대,포격 봉쇄 포격,해양 생태 연구,맹수 사냥,백병 봉쇄 백병,가면을 쓴 약탈자,맹수 척결,행동 전 공격력 증폭 심화,,,충파: 실명 유발,회피 증가,
B,후안 데라 코사,모험,갑판장,15,11,20,7,29,32,75,23,36,26,32,21,포격 방어력 증가,중재자,중독 시 분노 발동,수영 금지령,싸움 해소,관찰 공부,공격 시 포격 공격력 하강,규칙적인 생활,해적 척결,포격 피해 무효,,,충파: 돛 손상 유발,포격: 중독 유발,
B,후안 디아스 데솔리스,모험,보급장,19,7,15,11,29,31,25,69,28,21,37,30,포격 방어력 증가,결벽증,후려치기의 달인,영양사,부패 해소,긴축 배급,공격 시 포격 회피 하강,규칙적인 생활,조미료 판매 달인,긴축 배식,,,충파: 침수 유발,포격: 싸움 유발,
C,게오르크 폰슈파이어,전투,백병대,13,15,9,36,11,10,15,17,8,7,5,4,백병 치명타 발생 증가,백병 치명타 발생 증폭,귀금속 거래 우대,고립 시 백병 공격력 증폭,백병 공격력 증가,백병 치명타 추가 피해,이동 방해 백병,공격 시 백병 방어력 하강,공격 시 백병 방어력 하락,이동 억제 백병,,,백병 봉쇄,백병: 침수 유발,
C,곤살로 데케사다,모험,조범수,8,3,7,5,16,34,12,11,11,16,13,14,방어력 증가,장애물 탐지,흥정의 기술,낚시의 대가,암초 해소,능숙한 노 젓기,탐사의 기본,나침반 정비,관측 후 전투,이동 억제 포격,,,백병: 싸움 유발,포격: 연막 유발,
C,곤잘루 실베이라,전투,조선공,10,15,34,13,7,5,3,8,13,15,16,11,수리 극대화 회복량 증가,충파 공격력 증폭,주류 거래 우대,피격 시 포격 회피 증가,수리 극대화 발생 증가,수리 회복량 증폭,채집 공부,피격 시 방어력 증폭,피격 시 충파 방어력 증폭,충파 치명타 추가 저항,,,수리: 단일 대상,회피 감소,
C,구루시마 미치후사,전투,특공대,13,15,9,36,15,14,11,13,5,3,8,8,백병 회피 증가,백병 회피 증폭,공업품 거래 우대,공격 시 백병 명중 하강,백병 명중 증가,백병 명중 증폭,이동 방해 백병,피격 시 백병 방어력 증가,피격 시 백병 방어력 증폭,백병 방어력 증폭 심화,,,백병: 중독 유발,백병: 화재 유발,
C,귀도 벤조,모험,위생사,7,3,9,5,12,15,14,33,17,10,13,13,포격 회피 증가,고양이 애호,이동 방해 포격,포격 봉쇄 포격,쥐 해소,빗물 모으기,치명적인 포격,불면증 해소,성실한 탐험가,견고한 마음,,,백병: 중독 유발,포격: 구속 유발,
C,귀친 케말,전투,대사수,35,13,9,15,14,13,13,11,3,9,6,5,포격 회피 증가,포격 회피 증폭,잡화 거래 우대,공격 시 포격 회피 하강,포격 명중 증가,포격 명중 증폭,향수병 해소,공격 시 포격 방어력 하강,공격 시 포격 방어력 하락,이동 억제 포격,,,포격: 연막 유발,포격: 돛 손상 유발,
C,그레고리오 세스페데스,모험,상담사,5,7,9,3,12,13,16,32,15,16,13,10,백병 회피 증가,싸움 해소,식료품 거래 우대,괴혈병 해소,향수병 해소,심리 상담,포격 치명타 발생 증가,저체온증 해소,생물 관찰,천부적인 장사꾼,,,의술: 단일 대상,회피 감소,
C,기도 데라베사리스,교역,가축상,5,3,7,9,15,11,13,16,36,13,14,10,백병 회피 증가,가축 거래 전문,잡화 거래 우대,탐험 물자 절약,쥐 해소,가축 구매 할인,식량 약탈 백병,가축 판매 할증,가축 거래 달인,충파 피해 무효,,,방어력 증가,백병: 연막 유발,
C,니콜라스 플라멜,교역,약품상,3,5,9,7,11,13,17,13,12,30,16,13,의술 회복량 증가,의약품 거래 전문,잡화 거래 우대,의약품 거래 우대,전염병 해소,의약품 구매 할인,포격 치명타 발생 증가,의약품 판매 할증,의약품 거래 달인,시작 시 상태이상 추가 제거,,,백병: 연막 유발,의술: 소규모,
C,두아르트 페레이라,모험,항해장,5,3,9,7,16,13,37,10,11,12,17,14,포격 회피 증가,암초 해소,흥정의 기술,공격 시 포격 공격력 하강,해초 해소,장애물 탐지,중독 시 보호 발동,화재 해소,해적 척결,무기류 거래 달인,,,수리: 단일 대상,치명타 발생 감소,
C,디에고 데니쿠에사,전투,조선공,10,15,34,13,7,5,3,8,12,15,16,11,수리 극대화 회복량 증가,충파 공격력 증폭,보석 거래 우대,피격 시 포격 방어력 증가,수리 극대화 발생 증가,수리 회복량 증폭,보물 사냥꾼,피격 시 충파 방어력 증가,포격 방어력 증폭 심화,내구도 추가 증가,,,수리: 단일 대상,백병: 실명 유발,
C,디에고 카바예로,교역,잡화상,7,3,9,5,14,16,16,11,36,12,16,10,포격 방어력 증가,잡화 거래 전문,가축 거래 우대,화물 도난 해소,수리 회복량 증가,잡화 구매 할인,치명적인 백병,잡화 판매 할증,잡화 거래 달인,거래의 해결사,,,공격력 증가,수리: 소규모,
C,디에구 소사,전투,조선공,10,16,33,13,7,5,3,8,13,16,16,11,수리 극대화 회복량 증가,충파 공격력 증폭,주류 거래 우대,공격 시 포격 공격력 하강,수리 극대화 발생 증가,수리 회복량 증폭,화물 도난 해소,피격 시 방어력 증폭,피격 시 포격 방어력 증폭,수리 회복량 증폭 심화,,,수리: 소규모,공격력 감소,
C,디오구 캉,모험,지리학자,3,9,7,5,37,15,12,11,13,14,11,16,방어력 증가,가면을 쓴 약탈자,충파 봉쇄 충파,공격 시 포격 치명률 하강,채집의 달인,부지런한 탐험가,백병 봉쇄 백병,심해 인양 전문가,생물 채집,향신료 거래 달인,,,공격력 감소,충파: 연막 유발,
C,로런스 에드워드,교역,가공상,5,7,9,3,13,17,15,11,14,14,12,30,수리 회복량 증가,공예품 거래 전문,공업품 거래 우대,해초 해소,침수 해소,공예품 구매 할인,식량 약탈 백병,공예품 판매 할증,공예품 거래 달인,피해 반사 강화,,,치명타 발생 감소,명중 감소,
C,로버트 아마다스,교역,광물상,7,9,5,3,11,13,17,14,14,14,37,10,충파 방어력 증가,광석 거래 전문,광석 거래 우대,화물 도난 해소,치명적인 충파,광석 구매 할인,식량 약탈 백병,광석 판매 할증,광석 거래 달인,충파 치명타 피해 저항 증폭,,,백병: 실명 유발,포격: 섬광탄,
C,로버트 와일드,전투,설계사,13,10,33,15,11,13,7,9,9,7,12,11,수리 회복량 증가,백병 공격력 증폭,흥정의 기술,피격 전 회피 증폭,수리 극대화 회복량 증가,기술 봉쇄 백병,수리 회복량 증폭,천해 튼튼한 로프,포격 방어력 증폭 심화,피해 반사 강화,,,수리: 대규모,공격력 감소,
C,로푸 페레이라,교역,회계사,9,5,7,3,18,14,12,13,16,10,14,30,포격 공격력 증가,공업품 거래 전문,공업품 거래 우대,심해 튼튼한 로프,총포류 거래 전문,공업품 구매 할인,포격 명중 증가,공업품 판매 할증,후려치기의 현인,공격 시 충파 공격력 하락,,,명중 증가,백병: 실명 유발,
C,루도비코 데바르테마,모험,생물학자,3,5,9,7,37,11,14,13,11,13,13,17,의술 회복량 증가,채집의 달인,공업품 거래 우대,이동 봉쇄 포격,해양 생태 연구,맹수 사냥,이동 봉쇄 백병,재력 추구,맹수 척결,공격 시 백병 공격력 하락,,,의술: 단일 대상,충파: 연막 유발,
C,루크레치아 토르나부오니,교역,회계사,9,5,7,3,18,15,12,12,16,10,14,30,포격 공격력 증가,공업품 거래 전문,흥정의 기술,무풍 해소,총포류 거래 전문,공업품 구매 할인,치명적인 백병,공업품 판매 할증,후려치기의 현인,견고한 마음,,,회피 증가,명중 증가,
C,리처드 헉슬리,전투,유탄수,36,13,10,15,16,10,12,16,3,9,6,5,포격 치명타 발생 증가,포격 치명타 발생 증폭,무기류 구매 할인,피격 시 포격 회피 증가,포격 공격력 증가,포격 치명타 추가 피해,해초 해소,피격 시 포격 방어력 증가,공격 시 포격 방어력 하락,극독 포격,,,포격: 연막 유발,방어력 감소,
C,마누엘 페레스트렐루,모험,측량사,3,8,7,5,12,14,36,13,13,13,11,16,방어력 증가,방수 처리,의약품 거래 우대,육분의 활용,침수 해소,경계 강화,탐사의 기본,괴혈병 해소,탐험 물자 절약 심화,섬유 거래 달인,,,백병: 연막 유발,수리: 소규모,
C,마르코스 데니사,모험,고고학자,5,9,7,3,36,13,16,10,15,13,17,10,백병 방어력 증가,재력 지향,치명적인 백병,공격 시 백병 공격력 하강,해양 생태 연구,명성 지향,백병 봉쇄 백병,낚시의 대가,해적 척결,백병 치명타 추가 저항,,,공격력 감소,방어력 증가,
C,마르팅 아폰수 드소자,모험,수렵가,3,5,7,9,14,34,16,10,15,16,11,12,백병 회피 증가,탐험 물자 절약,섬유 거래 우대,이동 봉쇄 백병,낚시의 대가,호전적인 탐험가,치명적인 백병,재력 지향,채집 우선 전투,시작 시 이동력 추가 증가,,,공격력 증가,치명타 발생 감소,
C,마리아 바르톨라,모험,고고학자,4,9,7,3,36,12,16,9,16,12,18,10,백병 방어력 증가,재력 지향,가축 거래 우대,공격 시 백병 공격력 하강,해양 생태 연구,명성 지향,백병 봉쇄 백병,낚시의 대가,관찰 심화,귀금속 거래 달인,,,방어력 증가,백병: 실명 유발,
C,마리아 피타,전투,수리공,15,13,34,10,11,13,15,17,8,7,5,3,수리 극대화 발생 증가,포격 공격력 증폭,섬유 거래 우대,피격 시 포격 방어력 증가,수리 회복량 증가,기술 봉쇄 포격,채집 공부,수리 회복량 증폭,충파 방어력 증폭 심화,내구도 추가 증가,,,수리: 대규모,치명타 발생 감소,
C,마쓰라 다카노부,교역,협상가,8,3,7,5,11,13,17,14,16,12,37,10,포격 회피 증가,기호품 거래 전문,흥정의 기술,섬유 거래 우대,향수병 해소,기호품 구매 할인,치명적인 충파,직물 판매 할증,탁월한 협상,백병 치명타 피해 저항 증폭,,,치명타 발생 감소,방어력 증가,
C,모리스 레이든,모험,측량사,3,9,7,5,12,14,36,11,13,14,11,15,방어력 증가,방수 처리,진귀한 탐험,육분의 활용,침수 해소,경계 강화,탐사의 기본,나침반 정비,관찰 심화,향신료 구매 달인,,,회피 증가,명중 증가,
C,미르자 아지즈 코카,교역,약품상,3,5,9,7,11,13,17,13,12,31,16,12,의술 회복량 증가,의약품 거래 전문,조미료 거래 우대,흥정의 기술,전염병 해소,의약품 구매 할인,치명적인 충파,의약품 판매 할증,의약품 거래 달인,공격 시 포격 공격력 하락,,,치명타 발생 증가,돌격,
C,미켈레토 코렐라,전투,조타원,15,36,9,13,8,6,5,3,11,14,14,17,충파 치명타 발생 증가,충파 치명타 발생 증폭,직물 거래 우대,이동 봉쇄 충파,충파 공격력 증가,충파 치명타 추가 피해,천해 튼튼한 로프,피격 시 충파 방어력 증가,공격 시 충파 방어력 하락,충파 피해 무효,,,충파: 실명 유발,충파: 침수 유발,
C,발보아 오리드,교역,향료상,9,3,7,5,15,11,13,16,14,29,16,10,포격 공격력 증가,향료 거래 전문,잡화 거래 우대,향료 거래 우대,향신료 거래 전문,향료 구매 할인,포격 명중 증가,향료 판매 할증,향료 거래 달인,흥정의 기법,,,치명타 발생 증가,백병: 식량 약탈,
C,발푸리 인나마,교역,가공상,5,7,9,3,14,17,16,10,14,14,12,29,수리 회복량 증가,공예품 거래 전문,공업품 거래 우대,향수병 해소,침수 해소,공예품 구매 할인,치명적인 백병,공예품 판매 할증,공예품 거래 달인,충파 치명타 피해 저항 증폭,,,회피 증가,백병: 자재 약탈,
C,베니토 고메스,모험,수렵가,3,5,7,9,14,33,16,10,15,15,11,13,백병 회피 증가,탐험 물자 절약,포격 봉쇄 포격,이동 방해 백병,낚시의 대가,호전적인 탐험가,치명적인 백병,친절한 이방인,관측 후 전투,섬유 거래 달인,,,백병: 구속 유발,포격: 화재 유발,
C,비올란테 도리아,모험,예술학자,5,3,7,9,36,11,16,12,16,13,12,16,백병 방어력 증가,재력 추구,치명적인 백병,이동 봉쇄 백병,낚시꾼,명성 추구,식량 약탈 백병,친절한 이방인,전투적인 관찰,백병 치명타 추가 저항,듣고 싶은 음악,험지 관찰,백병: 실명 유발,백병: 연막 유발,백병: 혼돈 유발
C,빅터 러셀,전투,조선공,10,15,33,13,7,5,3,8,12,15,16,11,수리 극대화 회복량 증가,충파 공격력 증폭,흥정의 기술,피격 시 포격 회피 증가,수리 극대화 발생 증가,수리 회복량 증폭,탐사의 기본,피격 시 백병 회피 증가,수리 회복량 증폭 심화,포격 치명타 추가 저항,,,수리: 단일 대상,회피 감소,
C,세묜 스트로가노프,모험,항해장,5,3,9,7,16,13,37,10,11,11,17,15,포격 회피 증가,암초 해소,공업품 거래 우대,공격 시 포격 치명률 하강,해초 해소,장애물 탐지,치명적인 포격,화재 해소,해적 척결,귀금속 구매 달인,,,수리: 단일 대상,포격: 섬광탄,
C,세바스찬 캐벗,모험,조범수,8,3,7,5,16,33,12,12,12,17,14,14,방어력 증가,장애물 탐지,조미료 거래 우대,부패 해소,암초 해소,능숙한 노 젓기,탐사의 기본,식인상어 해소,생물 관찰,대혼란 충파,,,방어력 감소,충파: 연막 유발,
C,세바스티안 비스카이노,모험,탐험가,3,5,7,9,12,34,14,13,13,16,15,11,백병 치명타 발생 증가,진귀한 탐험,포격 봉쇄 포격,이동 방해 백병,채집의 달인,숙련된 탐험가,치명적인 백병,낚시의 대가,노련한 탐험가,흥정의 기법,,,백병: 연막 유발,포격: 섬광탄,
C,슈무엘 베일라시,교역,식품상,3,5,9,7,17,14,11,12,37,13,12,12,의술 회복량 증가,식료품 거래 전문,조미료 거래 우대,해초 해소,조미료 거래 전문,식료품 구매 할인,행동 전 명중 증폭,식료품 판매 할증,식료품 거래 달인,공격 시 충파 공격력 하락,,,회피 증가,충파: 중독 유발,
C,스미노쿠라 료이,교역,잡화상,7,3,9,5,13,17,15,11,36,12,16,10,포격 방어력 증가,잡화 거래 전문,의약품 거래 우대,해초 해소,수리 회복량 증가,잡화 구매 할인,치명적인 포격,잡화 판매 할증,잡화 거래 달인,피격 시 방어력 증폭 심화,,,방어력 증가,수리: 소규모,
C,시도니아 폰보르크,교역,가축상,5,3,7,9,16,11,14,16,36,13,14,10,백병 회피 증가,가축 거래 전문,잡화 거래 우대,암초 해소,쥐 해소,가축 구매 할인,포격 치명타 발생 증가,가축 판매 할증,가축 거래 달인,공격 시 포격 방어력 하락,,,회피 증가,백병: 식량 약탈,
C,아그네스 베르나우어,교역,약품상,3,5,9,7,11,13,17,13,12,31,16,13,의술 회복량 증가,의약품 거래 전문,의약품 거래 우대,화물 도난 해소,전염병 해소,의약품 구매 할인,포격 치명타 발생 증가,의약품 판매 할증,의약품 거래 달인,견고한 마음,,,치명타 발생 증가,방어력 증가,
C,아나 마리아 데소토,전투,조타수,15,36,9,13,13,9,17,15,6,6,3,9,충파 공격력 증가,충파 공격력 증폭,귀금속 거래 우대,이동 방해 충파,충파 방어력 증가,충파 방어력 증폭,보물 사냥꾼,피격 시 충파 방어력 증가,피격 시 충파 방어력 증폭,대혼란 충파,,,충파: 연막 유발,방어력 증가,
C,아나 얀선스,교역,주류상,3,5,7,9,17,15,11,12,12,31,14,14,백병 방어력 증가,주류 거래 전문,기호품 거래 우대,암초 해소,욕구불만 해소,주류 구매 할인,치명적인 백병,주류 판매 할증,주류 거래 달인,시작 시 상태이상 추가 제거,,,명중 증가,백병: 포탄 약탈,
C,아녜스 소렐,교역,염료상,3,5,7,8,16,11,14,15,36,11,16,12,백병 방어력 증가,염료 거래 전문,기호품 거래 우대,탐험 물자 절약,오염 해소,염료 구매 할인,식량 약탈 백병,기호품 판매 할증,염료 거래 달인,이동 억제 백병,,,방어력 증가,포격: 연막 유발,
C,아불 파즐,모험,생물학자,3,5,9,7,37,11,14,13,11,13,13,17,의술 회복량 증가,채집의 달인,염료 거래 우대,이동 봉쇄 포격,해양 생태 연구,맹수 사냥,이동 방해 백병,친절한 이방인,맹수 척결,총포류 거래 달인,,,방어력 감소,충파: 실명 유발,
C,아사르파이,교역,식품상,3,5,9,7,18,15,12,12,36,14,12,12,의술 회복량 증가,식료품 거래 전문,조미료 거래 우대,무풍 해소,조미료 거래 전문,식료품 구매 할인,포격 명중 증가,식료품 판매 할증,식료품 거래 달인,백병 치명타 피해 저항 증폭,,,명중 증가,의술: 단일 대상,
C,안나 오커히엘름,모험,고고학자,5,8,7,3,36,13,16,11,16,12,18,10,백병 방어력 증가,재력 지향,잡화 거래 우대,공격 시 백병 공격력 하강,해양 생태 연구,명성 지향,이동 봉쇄 백병,낚시의 대가,전투적인 채집,총포류 거래 달인,,,포격: 섬광탄,회피 증가,
C,안토니우 드살다냐,교역,주류상,3,5,7,9,17,15,11,12,12,31,14,14,백병 방어력 증가,주류 거래 전문,기호품 거래 우대,암초 해소,욕구불만 해소,주류 구매 할인,식량 약탈 백병,주류 판매 할증,주류 거래 달인,충파 치명타 피해 저항 증폭,,,회피 증가,돌격,
C,안토니우 드아브레우,전투,조타장,15,35,9,13,5,7,3,7,16,11,12,15,충파 방어력 증가,충파 치명타 추가 피해,바가지의 달인,이동 방해 충파,충파 공격력 증가,충파 공격력 증폭,채집 공부,공격 시 충파 방어력 하강,공격 시 충파 방어력 하락,거래의 해결사,,,충파: 연막 유발,치명타 발생 감소,
C,알론소 데멘도사,교역,가축상,5,3,7,9,15,11,13,15,37,13,14,11,백병 회피 증가,가축 거래 전문,조미료 거래 우대,심해 튼튼한 로프,쥐 해소,가축 구매 할인,치명적인 충파,가축 판매 할증,가축 거래 달인,포격 치명타 추가 저항,,,교전 기술,백병: 식량 약탈,
C,알론소 알바레스 데피네다,모험,탐험가,3,5,7,9,12,34,14,13,13,15,15,11,백병 치명타 발생 증가,진귀한 탐험,흥정의 기술,공격 시 백병 치명률 하강,채집의 달인,숙련된 탐험가,치명적인 백병,재력 지향,노련한 탐험가,백병 치명타 추가 저항,,,방어력 증가,충파: 구속 유발,
C,알베로 스킬라치,전투,수련의,13,15,34,10,8,7,5,3,11,13,14,15,의술 극대화 발생 증가,충파 방어력 증폭,기호품 거래 우대,피격 시 백병 회피 증가,의술 회복량 증가,충파 피해 반사,진귀한 탐험,공격 시 백병 방어력 하강,피격 시 백병 방어력 증폭,의술 회복량 증폭 심화,,,의술: 대규모,포격: 섬광탄,
C,알제우나,모험,생물학자,3,5,9,7,37,11,14,13,11,13,13,17,의술 회복량 증가,채집의 달인,광석 거래 우대,중독 포격,해양 생태 연구,맹수 사냥,이동 방해 백병,심해 인양 전문가,맹수 척결,기호품 거래 달인,,,명중 증가,의술: 소규모,
C,암브로지우스 에힝어,전투,조타장,15,36,9,13,5,7,3,7,16,12,12,15,충파 방어력 증가,충파 치명타 추가 피해,염료 거래 우대,중독 충파,충파 공격력 증가,충파 공격력 증폭,보물 사냥꾼,이동 방해 충파,피격 시 충파 방어력 증폭,무기류 거래 달인,,,공격력 증가,충파 봉쇄,
C,앤서니 셜리,모험,갑판장,7,5,9,3,14,15,37,11,17,12,15,10,포격 방어력 증가,중재자,의약품 거래 우대,중독 포격,싸움 해소,관찰 공부,치명적인 포격,괴혈병 해소,채집 우선 관찰,주류 구매 달인,,,수리: 단일 대상,포격: 섬광탄,
C,앤서니 존슨,전투,조타원,15,35,9,13,8,6,5,3,10,13,14,17,충파 치명타 발생 증가,충파 치명타 발생 증폭,조미료 거래 우대,공격 시 충파 방어력 하강,충파 공격력 증가,충파 치명타 추가 피해,채집 공부,피격 시 충파 방어력 증가,공격 시 충파 방어력 하락,충파 치명타 추가 저항,,,충파: 실명 유발,방어력 감소,
C,야코프 로헤베인,모험,지리학자,3,9,7,5,36,14,12,11,13,14,11,15,방어력 증가,가면을 쓴 약탈자,의약품 거래 우대,이동 봉쇄 포격,채집의 달인,부지런한 탐험가,치명적인 포격,친절한 이방인,채집의 명인,의술 회복량 증폭 심화,,,명중 감소,치명타 발생 감소,
C,야코프 판넥,교역,향료상,9,3,7,5,15,11,13,16,14,29,16,10,포격 공격력 증가,향료 거래 전문,기호품 거래 우대,향료 거래 우대,향신료 거래 전문,향료 구매 할인,치명적인 백병,향료 판매 할증,향료 거래 달인,견고한 마음,,,수리: 단일 대상,포격: 연막 유발,
C,얀 요스턴 판로덴스테인,교역,방적상,7,9,5,3,14,16,16,11,12,34,14,13,충파 공격력 증가,직물 거래 전문,섬유 거래 우대,탐사의 기본,섬유 거래 전문,직물 구매 할인,식량 약탈 백병,직물 판매 할증,직물 거래 달인,이동 억제 충파,,,방어력 증가,백병: 연막 유발,
